#{"t_start": 1658892948.3270006, "env_id": null}
r,l,t
39.628241,45,2.669317
58.805408,45,2.852655
37.262432,45,3.0419
67.066952,45,3.205991
0.876324,45,3.378645
47.378767,45,3.560951
38.569027,45,3.740984
47.941696,45,3.926604
51.198488,45,4.101542
47.920386,45,4.255835
40.250542,45,4.409784
15.25171,45,4.563526
17.720913,45,4.717161
19.59173,45,4.872046
8.236908,45,5.029682
30.187623,45,5.184389
59.784645,45,5.353462
49.582691,45,5.536877
23.039121,45,5.729566
55.611351,45,5.929921
32.788036,45,6.10614
34.457453,45,6.273536
